HATE_SPEECH,CLASS
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
juice jews are worse that nukes caption to a meme showing hiroshima 1945 and present day contrast against pictures of detroit in 1945 and present day,1
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
jews cannot be patriots since their allegiance will always be to the state of israel,1
israel zionism and jewish supremacist control of america are the main causes of terrorism instability and conflict in the world all other theories are diversions from this ultimate truth,1
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
race is a social construct and if you see any difference between these two women its because you have a mental illness image showing a blonde european female athlete juxtaposed against an image of an african woman wearing a lip plate,5
who the fuck are you we are gutful sick of vagina misandrists trying to undermine white powerful makes when they themselves are just envious incompetent and useless,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
who the fuck are you we are gutful sick of vagina misandrists trying to undermine powerful white men they are just envious incompetent and useless,6
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
whats the difference between a cow and the holocaust you stop milking the cow after 70 years,1
we began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years a completely different energy and thought pattern they are weak and bring our society down to their emotionally soft level,6
jews like to cordon off areas for themselves where no jew is allowed to go while simultaneously having their judges fill white neighbourhoods with social housing,1
minorities vote to strip wealth and power from white people and they are organised to do this by the jws,1
israel zionism and jewish supremacist control of america are the main causes of terrorism instability and conflict in the world all other theories are diversions from this ultimate truth,1
the jews did uss liberty attack the king david hotel attack new york 911 london 77,1
zionist extremists conspire in jerusalem their objectives are to cause chaos carnage murder create more refugees and destroy europe,1
what if our entire ruling class consisted of jcontrolled paedophiles that would explain a lot,1
global jewry did not want brexit and are doing everything they can to sabotage it,1
the jews did uss liberty attack the king david hotel attack new york 911 london 77,1
an american jew just like a muslim is an outsider loyal to their birth tribe posing as a member of the ingroup in order to subvert cultural political and social norms we dont have to choose its ok to hate them both,7
an american jew just like a muslim is an outsider loyal to their birth tribe posing as a member of the ingroup in order to subvert cultural political and social norms we dont have to choose its ok to hate them both,7
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
who the fuck are you we are gutful sick of vagina misandrists trying to undermine white powerful makes when they themselves are just envious incompetent and useless,6
the uk government recently published a paper on online harms in other words they are going to be working with jewish and muslim antihate organisations to censor the internet referring to tell mama cst and stop hate uk,7
since when has abusing the anus as a sex organ been a monumental achievement this is state enforced homosexuality maybe we should change our motto to in usury and sodomy we trust in reply to botswana decriminalising homosexuality,2
this is why women do not belong in politics if a man complained like them hed be called a coward and told to get the hell out of the job equality is a lie and feminism is a death sentence for any civilisation,6
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
